🇦🇩,AND
🇦🇪,ARE
🇦🇫,AFG
🇦🇬,ATG
🇦🇮,AIA
🇦🇱,ALB
🇦🇲,ARM
🇦🇴,AGO
🇦🇶,ATA
🇦🇷,ARG
🇦🇸,ASM
🇦🇹,AUT
🇦🇺,AUS
🇦🇼,ABW
🇦🇽,ALA
🇦🇿,AZE
🇧🇦,BIH
🇧🇧,BRB
🇧🇩,BGD
🇧🇪,BEL
🇧🇫,BFA
🇧🇬,BGR
🇧🇭,BHR
🇧🇮,BDI
🇧🇯,BEN
🇧🇱,BLM
🇧🇲,BMU
🇧🇳,BRN
🇧🇴,BOL
🇧🇶,NLD
🇧🇷,BRA
🇧🇸,BHS
🇧🇹,BTN
🇧🇻,BVT
🇧🇼,BWA
🇧🇾,BLR
🇧🇿,BLZ
🇨🇦,CAN
🇨🇨,CCK
🇨🇫,CAF
🇨🇬,COG
🇨🇭,CHE
🇨🇮,CIV
🇨🇰,COK
🇨🇱,CHL
🇨🇲,CMR
🇨🇳,CHN
🇨🇴,COL
🇨🇵,CPT
🇨🇷,CRI
🇨🇺,CUB
🇨🇻,CPV
🇨🇼,CUW
🇨🇽,CXR
🇨🇾,CYP
🇨🇿,CZE
🇩🇪,DEU
🇩🇬,DGA
🇩🇯,DJI
🇩🇰,DNK
🇩🇲,DMA
🇩🇴,DOM
🇩🇿,DZA
🇪🇦,ES-CE
🇪🇨,ECU
🇪🇪,EST
🇪🇬,EGY
🇪🇭,ESH
🇪🇷,ERI
🇪🇸,ESP
🇪🇹,ETH
🇫🇮,FIN
🇫🇯,FJI
🇫🇰,FLK
🇫🇲,FSM
🇫🇴,FRO
🇫🇷,FRA
🇬🇦,GAB
🇬🇧,GBR
🇬🇩,GRD
🇬🇪,GEO
🇬🇫,GUF
🇬🇬,GGY
🇬🇭,GHA
🇬🇮,GIB
🇬🇱,GRL
🇬🇲,GMB
🇬🇳,GIN
🇬🇵,GLP
🇬🇶,GNQ
🇬🇷,GRC
🇬🇸,SGS
🇬🇹,GTM
🇬🇺,GUM
🇬🇼,GNB
🇬🇾,GUY
🇭🇰,HKG
🇭🇰,CHN
🇭🇲,HMD
🇭🇳,HND
🇭🇷,HRV
🇭🇹,HTI
🇭🇺,HUN
🇮🇨,ES-CN
🇮🇩,IDN
🇮🇪,IRL
🇮🇱,ISR
🇮🇲,IMN
🇮🇳,IND
🇮🇴,IOT
🇮🇶,IRQ
🇮🇷,IRN
🇮🇸,ISL
🇮🇹,ITA
🇯🇪,JEY
🇯🇲,JAM
🇯🇴,JOR
🇯🇵,JPN
🇰🇪,KEN
🇰🇬,KGZ
🇰🇭,KHM
🇰🇮,KIR
🇰🇲,COM
🇰🇳,KNA
🇰🇵,PRK
🇰🇷,KOR
🇰🇼,KWT
🇰🇾,CYM
🇰🇿,KAZ
🇱🇦,LA
🇱🇧,LBN
🇱🇨,LCA
🇱🇮,LIE
🇱🇰,LKA
🇱🇷,LBR
🇱🇸,LSO
🇱🇹,LTU
🇱🇺,LUX
🇱🇻,LVA
🇱🇾,LBY
🇲🇦,MAR
🇲🇨,MCO
🇲🇩,MDA
🇲🇪,MNE
🇲🇫,MAF
🇲🇬,MDG
🇲🇭,MHL
🇲🇰,MKD
🇲🇱,MLI
🇲🇲,MMR
🇲🇳,MNG
🇲🇴,MAC
🇲🇵,MNP
🇲🇶,MTQ
🇲🇷,MRT
🇲🇸,MSR
🇲🇹,MLT
🇲🇺,MUS
🇲🇻,MDV
🇲🇼,MWI
🇲🇽,MEX
🇲🇾,MYS
🇲🇿,MOZ
🇳🇦,NAM
🇳🇨,NCL
🇳🇪,NER
🇳🇫,NFK
🇳🇬,NGA
🇳🇮,NIC
🇳🇱,NLD
🇳🇴,NOR
🇳🇵,NPL
🇳🇷,NRU
🇳🇺,NIU
🇳🇿,NZL
🇴🇲,OMN
🇵🇦,PAN
🇵🇪,PER
🇵🇫,PYF
🇵🇬,PNG
🇵🇭,PHL
🇵🇰,PAK
🇵🇱,POL
🇵🇲,SPM
🇵🇳,PCN
🇵🇷,PRI
🇵🇸,PSE
🇵🇹,PRT
🇵🇼,PLW
🇵🇾,PRY
🇶🇦,QAT
🇷🇪,REU
🇷🇴,ROU
🇷🇸,SRB
🇷🇺,RUS
🇷🇼,RWA
🇸🇦,SAU
🇸🇧,SLB
🇸🇨,SYC
🇸🇩,SDN
🇸🇪,SWE
🇸🇬,SGP
🇸🇭,SHN
🇸🇮,SVN
🇸🇯,SJM
🇸🇰,SVK
🇸🇱,SLE
🇸🇲,SMR
🇸🇳,SEN
🇸🇴,SOM
🇸🇷,SUR
🇸🇸,SSD
🇸🇹,STP
🇸🇻,SLV
🇸🇽,SXM
🇸🇾,SYR
🇸🇿,SWZ
🇹🇦,TAA
🇹🇨,TCA
🇹🇩,TCD
🇹🇫,ATF
🇹🇬,TGO
🇹🇭,THA
🇹🇯,TJK
🇹🇰,TKL
🇹🇱,TLS
🇹🇲,TKM
🇹🇳,TUN
🇹🇴,TON
🇹🇷,TUR
🇹🇹,TTO
🇹🇻,TUV
🇹🇼,TWN
🇹🇿,TZA
🇺🇦,UKR
🇺🇬,UGA
🇺🇲,UMI
🇺🇸,USA
🇺🇾,URY
🇺🇿,UZB
🇻🇦,VAT
🇻🇨,VCT
🇻🇪,VEN
🇻🇬,VGB
🇻🇮,VIR
🇻🇳,VNM
🇻🇺,VUT
🇼🇫,WF
🇼🇸,WSM
🇽🇰,RKS
🇾🇪,YEM
🇾🇹,MYT
🇿🇦,ZAF
🇿🇲,ZMB
🇿🇼,ZWE
